CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000005207522AC;25/08/2023;14;0,228;R
ES0021000005207522AC;25/08/2023;15;0,226;R
ES0021000005207522AC;25/08/2023;16;0,264;R
ES0021000005207522AC;25/08/2023;17;0,185;R
ES0021000005207522AC;25/08/2023;18;0,235;R
ES0021000005207522AC;25/08/2023;19;0,242;R
ES0021000005207522AC;25/08/2023;20;0,262;R
ES0021000005207522AC;25/08/2023;21;0,189;R
ES0021000005207522AC;25/08/2023;22;0,117;R
ES0021000005207522AC;25/08/2023;23;0,238;R
ES0021000005207522AC;25/08/2023;24;0,529;R
ES0021000005207522AC;26/08/2023;1;0,190;R
ES0021000005207522AC;26/08/2023;2;0,154;R
ES0021000005207522AC;26/08/2023;3;0,136;R
ES0021000005207522AC;26/08/2023;4;0,114;R
ES0021000005207522AC;26/08/2023;5;0,115;R
ES0021000005207522AC;26/08/2023;6;0,152;R
ES0021000005207522AC;26/08/2023;7;0,112;R
ES0021000005207522AC;26/08/2023;8;0,059;R
ES0021000005207522AC;26/08/2023;9;0,101;R
ES0021000005207522AC;26/08/2023;10;0,125;R
ES0021000005207522AC;26/08/2023;11;0,312;R
ES0021000005207522AC;26/08/2023;12;0,214;R
ES0021000005207522AC;26/08/2023;13;0,217;R
ES0021000005207522AC;26/08/2023;14;0,621;R
ES0021000005207522AC;26/08/2023;15;0,264;R
ES0021000005207522AC;26/08/2023;16;0,217;R
ES0021000005207522AC;26/08/2023;17;0,170;R
ES0021000005207522AC;26/08/2023;18;0,171;R
ES0021000005207522AC;26/08/2023;19;0,235;R
ES0021000005207522AC;26/08/2023;20;0,275;R
ES0021000005207522AC;26/08/2023;21;0,219;R
ES0021000005207522AC;26/08/2023;22;0,291;R
ES0021000005207522AC;26/08/2023;23;0,196;R
ES0021000005207522AC;26/08/2023;24;0,135;R
ES0021000005207522AC;27/08/2023;1;0,130;R
ES0021000005207522AC;27/08/2023;2;0,130;R
ES0021000005207522AC;27/08/2023;3;0,115;R
ES0021000005207522AC;27/08/2023;4;0,112;R
ES0021000005207522AC;27/08/2023;5;0,049;R
ES0021000005207522AC;27/08/2023;6;0,106;R
ES0021000005207522AC;27/08/2023;7;0,112;R
ES0021000005207522AC;27/08/2023;8;0,059;R
ES0021000005207522AC;27/08/2023;9;0,108;R
ES0021000005207522AC;27/08/2023;10;0,162;R
ES0021000005207522AC;27/08/2023;11;0,250;R
ES0021000005207522AC;27/08/2023;12;0,168;R
ES0021000005207522AC;27/08/2023;13;0,206;R
ES0021000005207522AC;27/08/2023;14;0,184;R
ES0021000005207522AC;27/08/2023;15;0,188;R
ES0021000005207522AC;27/08/2023;16;0,431;R
ES0021000005207522AC;27/08/2023;17;0,177;R
ES0021000005207522AC;27/08/2023;18;0,386;R
ES0021000005207522AC;27/08/2023;19;0,798;R
ES0021000005207522AC;27/08/2023;20;0,270;R
ES0021000005207522AC;27/08/2023;21;0,322;R
ES0021000005207522AC;27/08/2023;22;0,133;R
ES0021000005207522AC;27/08/2023;23;0,139;R
ES0021000005207522AC;27/08/2023;24;0,157;R
ES0021000005207522AC;28/08/2023;1;0,130;R
ES0021000005207522AC;28/08/2023;2;0,114;R
ES0021000005207522AC;28/08/2023;3;0,086;R
ES0021000005207522AC;28/08/2023;4;0,057;R
ES0021000005207522AC;28/08/2023;5;0,099;R
ES0021000005207522AC;28/08/2023;6;0,065;R
ES0021000005207522AC;28/08/2023;7;0,078;R
ES0021000005207522AC;28/08/2023;8;0,085;R
ES0021000005207522AC;28/08/2023;9;0,230;R
ES0021000005207522AC;28/08/2023;10;0,292;R
ES0021000005207522AC;28/08/2023;11;0,165;R
ES0021000005207522AC;28/08/2023;12;0,173;R
ES0021000005207522AC;28/08/2023;13;0,163;R
ES0021000005207522AC;28/08/2023;14;0,140;R
ES0021000005207522AC;28/08/2023;15;0,189;R
ES0021000005207522AC;28/08/2023;16;0,155;R
ES0021000005207522AC;28/08/2023;17;0,171;R
ES0021000005207522AC;28/08/2023;18;0,163;R
ES0021000005207522AC;28/08/2023;19;0,236;R
ES0021000005207522AC;28/08/2023;20;0,173;R
ES0021000005207522AC;28/08/2023;21;0,555;R
ES0021000005207522AC;28/08/2023;22;0,211;R
ES0021000005207522AC;28/08/2023;23;0,134;R
ES0021000005207522AC;28/08/2023;24;0,174;R
ES0021000005207522AC;29/08/2023;1;0,132;R
ES0021000005207522AC;29/08/2023;2;0,123;R
ES0021000005207522AC;29/08/2023;3;0,062;R
ES0021000005207522AC;29/08/2023;4;0,098;R
ES0021000005207522AC;29/08/2023;5;0,075;R
ES0021000005207522AC;29/08/2023;6;0,078;R
ES0021000005207522AC;29/08/2023;7;0,092;R
ES0021000005207522AC;29/08/2023;8;0,057;R
ES0021000005207522AC;29/08/2023;9;0,286;R
ES0021000005207522AC;29/08/2023;10;0,156;R
ES0021000005207522AC;29/08/2023;11;0,183;R
ES0021000005207522AC;29/08/2023;12;0,238;R
ES0021000005207522AC;29/08/2023;13;0,322;R
ES0021000005207522AC;29/08/2023;14;0,447;R
ES0021000005207522AC;29/08/2023;15;0,140;R
ES0021000005207522AC;29/08/2023;16;0,140;R
ES0021000005207522AC;29/08/2023;17;0,065;R
ES0021000005207522AC;29/08/2023;18;0,146;R
ES0021000005207522AC;29/08/2023;19;0,171;R
ES0021000005207522AC;29/08/2023;20;0,670;R
ES0021000005207522AC;29/08/2023;21;0,221;R
ES0021000005207522AC;29/08/2023;22;0,260;R
ES0021000005207522AC;29/08/2023;23;0,291;R
ES0021000005207522AC;29/08/2023;24;0,094;R
ES0021000005207522AC;30/08/2023;1;0,117;R
ES0021000005207522AC;30/08/2023;2;0,055;R
ES0021000005207522AC;30/08/2023;3;0,096;R
ES0021000005207522AC;30/08/2023;4;0,073;R
ES0021000005207522AC;30/08/2023;5;0,072;R
ES0021000005207522AC;30/08/2023;6;0,096;R
ES0021000005207522AC;30/08/2023;7;0,048;R
ES0021000005207522AC;30/08/2023;8;0,108;R
ES0021000005207522AC;30/08/2023;9;0,097;R
ES0021000005207522AC;30/08/2023;10;0,306;R
ES0021000005207522AC;30/08/2023;11;0,206;R
ES0021000005207522AC;30/08/2023;12;0,138;R
ES0021000005207522AC;30/08/2023;13;0,171;R
ES0021000005207522AC;30/08/2023;14;0,181;R
ES0021000005207522AC;30/08/2023;15;0,149;R
ES0021000005207522AC;30/08/2023;16;0,126;R
ES0021000005207522AC;30/08/2023;17;0,170;R
ES0021000005207522AC;30/08/2023;18;0,200;R
ES0021000005207522AC;30/08/2023;19;0,093;R
ES0021000005207522AC;30/08/2023;20;0,129;R
ES0021000005207522AC;30/08/2023;21;0,305;R
ES0021000005207522AC;30/08/2023;22;0,177;R
ES0021000005207522AC;30/08/2023;23;0,158;R
ES0021000005207522AC;30/08/2023;24;0,249;R
ES0021000005207522AC;31/08/2023;1;0,101;R
ES0021000005207522AC;31/08/2023;2;0,071;R
ES0021000005207522AC;31/08/2023;3;0,098;R
ES0021000005207522AC;31/08/2023;4;0,051;R
ES0021000005207522AC;31/08/2023;5;0,091;R
ES0021000005207522AC;31/08/2023;6;0,073;R
ES0021000005207522AC;31/08/2023;7;0,053;R
ES0021000005207522AC;31/08/2023;8;0,094;R
ES0021000005207522AC;31/08/2023;9;0,073;R
ES0021000005207522AC;31/08/2023;10;0,226;R
ES0021000005207522AC;31/08/2023;11;0,297;R
ES0021000005207522AC;31/08/2023;12;0,235;R
ES0021000005207522AC;31/08/2023;13;0,153;R
ES0021000005207522AC;31/08/2023;14;0,169;R
ES0021000005207522AC;31/08/2023;15;0,130;R
ES0021000005207522AC;31/08/2023;16;0,219;R
ES0021000005207522AC;31/08/2023;17;0,149;R
ES0021000005207522AC;31/08/2023;18;0,150;R
ES0021000005207522AC;31/08/2023;19;0,154;R
ES0021000005207522AC;31/08/2023;20;0,180;R
ES0021000005207522AC;31/08/2023;21;0,582;R
ES0021000005207522AC;31/08/2023;22;0,274;R
ES0021000005207522AC;31/08/2023;23;0,210;R
ES0021000005207522AC;31/08/2023;24;0,167;R
ES0021000005207522AC;01/09/2023;1;0,065;R
ES0021000005207522AC;01/09/2023;2;0,115;R
ES0021000005207522AC;01/09/2023;3;0,061;R
ES0021000005207522AC;01/09/2023;4;0,108;R
ES0021000005207522AC;01/09/2023;5;0,069;R
ES0021000005207522AC;01/09/2023;6;0,078;R
ES0021000005207522AC;01/09/2023;7;0,096;R
ES0021000005207522AC;01/09/2023;8;0,054;R
ES0021000005207522AC;01/09/2023;9;0,132;R
ES0021000005207522AC;01/09/2023;10;0,151;R
ES0021000005207522AC;01/09/2023;11;0,298;R
ES0021000005207522AC;01/09/2023;12;0,156;R
ES0021000005207522AC;01/09/2023;13;0,142;R
ES0021000005207522AC;01/09/2023;14;0,232;R
ES0021000005207522AC;01/09/2023;15;0,361;R
ES0021000005207522AC;01/09/2023;16;0,214;R
ES0021000005207522AC;01/09/2023;17;0,138;R
ES0021000005207522AC;01/09/2023;18;0,182;R
ES0021000005207522AC;01/09/2023;19;0,097;R
ES0021000005207522AC;01/09/2023;20;0,391;R
ES0021000005207522AC;01/09/2023;21;0,147;R
ES0021000005207522AC;01/09/2023;22;0,143;R
ES0021000005207522AC;01/09/2023;23;0,087;R
ES0021000005207522AC;01/09/2023;24;0,158;R
ES0021000005207522AC;02/09/2023;1;0,116;R
ES0021000005207522AC;02/09/2023;2;0,118;R
ES0021000005207522AC;02/09/2023;3;0,050;R
ES0021000005207522AC;02/09/2023;4;0,113;R
ES0021000005207522AC;02/09/2023;5;0,048;R
ES0021000005207522AC;02/09/2023;6;0,097;R
ES0021000005207522AC;02/09/2023;7;0,061;R
ES0021000005207522AC;02/09/2023;8;0,081;R
ES0021000005207522AC;02/09/2023;9;0,091;R
ES0021000005207522AC;02/09/2023;10;0,261;R
ES0021000005207522AC;02/09/2023;11;0,317;R
ES0021000005207522AC;02/09/2023;12;0,072;R
ES0021000005207522AC;02/09/2023;13;0,035;R
ES0021000005207522AC;02/09/2023;14;0,037;R
ES0021000005207522AC;02/09/2023;15;0,050;R
ES0021000005207522AC;02/09/2023;16;0,051;R
ES0021000005207522AC;02/09/2023;17;0,044;R
ES0021000005207522AC;02/09/2023;18;0,040;R
ES0021000005207522AC;02/09/2023;19;0,040;R
ES0021000005207522AC;02/09/2023;20;0,041;R
ES0021000005207522AC;02/09/2023;21;0,046;R
ES0021000005207522AC;02/09/2023;22;0,056;R
ES0021000005207522AC;02/09/2023;23;0,051;R
ES0021000005207522AC;02/09/2023;24;0,041;R
ES0021000005207522AC;03/09/2023;1;0,041;R
ES0021000005207522AC;03/09/2023;2;0,041;R
ES0021000005207522AC;03/09/2023;3;0,049;R
ES0021000005207522AC;03/09/2023;4;0,056;R
ES0021000005207522AC;03/09/2023;5;0,047;R
ES0021000005207522AC;03/09/2023;6;0,041;R
ES0021000005207522AC;03/09/2023;7;0,040;R
ES0021000005207522AC;03/09/2023;8;0,041;R
ES0021000005207522AC;03/09/2023;9;0,057;R
ES0021000005207522AC;03/09/2023;10;0,052;R
ES0021000005207522AC;03/09/2023;11;0,040;R
ES0021000005207522AC;03/09/2023;12;0,041;R
ES0021000005207522AC;03/09/2023;13;0,040;R
ES0021000005207522AC;03/09/2023;14;0,053;R
ES0021000005207522AC;03/09/2023;15;0,055;R
ES0021000005207522AC;03/09/2023;16;0,041;R
ES0021000005207522AC;03/09/2023;17;0,040;R
ES0021000005207522AC;03/09/2023;18;0,040;R
ES0021000005207522AC;03/09/2023;19;0,048;R
ES0021000005207522AC;03/09/2023;20;0,055;R
ES0021000005207522AC;03/09/2023;21;0,045;R
ES0021000005207522AC;03/09/2023;22;0,040;R
ES0021000005207522AC;03/09/2023;23;0,040;R
ES0021000005207522AC;03/09/2023;24;0,043;R
ES0021000005207522AC;04/09/2023;1;0,055;R
ES0021000005207522AC;04/09/2023;2;0,048;R
ES0021000005207522AC;04/09/2023;3;0,040;R
ES0021000005207522AC;04/09/2023;4;0,039;R
ES0021000005207522AC;04/09/2023;5;0,040;R
ES0021000005207522AC;04/09/2023;6;0,055;R
ES0021000005207522AC;04/09/2023;7;0,051;R
ES0021000005207522AC;04/09/2023;8;0,038;R
ES0021000005207522AC;04/09/2023;9;0,039;R
ES0021000005207522AC;04/09/2023;10;0,039;R
ES0021000005207522AC;04/09/2023;11;0,052;R
ES0021000005207522AC;04/09/2023;12;0,052;R
ES0021000005207522AC;04/09/2023;13;0,038;R
ES0021000005207522AC;04/09/2023;14;0,039;R
ES0021000005207522AC;04/09/2023;15;0,039;R
ES0021000005207522AC;04/09/2023;16;0,048;R
ES0021000005207522AC;04/09/2023;17;0,054;R
ES0021000005207522AC;04/09/2023;18;0,040;R
ES0021000005207522AC;04/09/2023;19;0,038;R
ES0021000005207522AC;04/09/2023;20;0,039;R
ES0021000005207522AC;04/09/2023;21;0,044;R
ES0021000005207522AC;04/09/2023;22;0,054;R
ES0021000005207522AC;04/09/2023;23;0,044;R
ES0021000005207522AC;04/09/2023;24;0,039;R
ES0021000005207522AC;05/09/2023;1;0,038;R
ES0021000005207522AC;05/09/2023;2;0,040;R
ES0021000005207522AC;05/09/2023;3;0,055;R
ES0021000005207522AC;05/09/2023;4;0,047;R
ES0021000005207522AC;05/09/2023;5;0,038;R
ES0021000005207522AC;05/09/2023;6;0,039;R
ES0021000005207522AC;05/09/2023;7;0,038;R
ES0021000005207522AC;05/09/2023;8;0,053;R
ES0021000005207522AC;05/09/2023;9;0,050;R
ES0021000005207522AC;05/09/2023;10;0,037;R
ES0021000005207522AC;05/09/2023;11;0,038;R
ES0021000005207522AC;05/09/2023;12;0,038;R
ES0021000005207522AC;05/09/2023;13;0,049;R
ES0021000005207522AC;05/09/2023;14;0,053;R
ES0021000005207522AC;05/09/2023;15;0,038;R
ES0021000005207522AC;05/09/2023;16;0,038;R
ES0021000005207522AC;05/09/2023;17;0,038;R
ES0021000005207522AC;05/09/2023;18;0,046;R
ES0021000005207522AC;05/09/2023;19;0,054;R
ES0021000005207522AC;05/09/2023;20;0,042;R
ES0021000005207522AC;05/09/2023;21;0,038;R
ES0021000005207522AC;05/09/2023;22;0,038;R
ES0021000005207522AC;05/09/2023;23;0,041;R
ES0021000005207522AC;05/09/2023;24;0,054;R
ES0021000005207522AC;06/09/2023;1;0,047;R
ES0021000005207522AC;06/09/2023;2;0,038;R
ES0021000005207522AC;06/09/2023;3;0,038;R
ES0021000005207522AC;06/09/2023;4;0,038;R
ES0021000005207522AC;06/09/2023;5;0,054;R
ES0021000005207522AC;06/09/2023;6;0,050;R
ES0021000005207522AC;06/09/2023;7;0,038;R
ES0021000005207522AC;06/09/2023;8;0,038;R
ES0021000005207522AC;06/09/2023;9;0,038;R
ES0021000005207522AC;06/09/2023;10;0,050;R
ES0021000005207522AC;06/09/2023;11;0,053;R
ES0021000005207522AC;06/09/2023;12;0,038;R
ES0021000005207522AC;06/09/2023;13;0,038;R
ES0021000005207522AC;06/09/2023;14;0,038;R
ES0021000005207522AC;06/09/2023;15;0,049;R
ES0021000005207522AC;06/09/2023;16;0,054;R
ES0021000005207522AC;06/09/2023;17;0,039;R
ES0021000005207522AC;06/09/2023;18;0,038;R
ES0021000005207522AC;06/09/2023;19;0,039;R
ES0021000005207522AC;06/09/2023;20;0,045;R
ES0021000005207522AC;06/09/2023;21;0,054;R
ES0021000005207522AC;06/09/2023;22;0,043;R
ES0021000005207522AC;06/09/2023;23;0,038;R
ES0021000005207522AC;06/09/2023;24;0,039;R
ES0021000005207522AC;07/09/2023;1;0,042;R
ES0021000005207522AC;07/09/2023;2;0,054;R
ES0021000005207522AC;07/09/2023;3;0,047;R
ES0021000005207522AC;07/09/2023;4;0,039;R
ES0021000005207522AC;07/09/2023;5;0,039;R
ES0021000005207522AC;07/09/2023;6;0,039;R
ES0021000005207522AC;07/09/2023;7;0,055;R
ES0021000005207522AC;07/09/2023;8;0,049;R
ES0021000005207522AC;07/09/2023;9;0,038;R
ES0021000005207522AC;07/09/2023;10;0,039;R
ES0021000005207522AC;07/09/2023;11;0,038;R
ES0021000005207522AC;07/09/2023;12;0,054;R
ES0021000005207522AC;07/09/2023;13;0,050;R
ES0021000005207522AC;07/09/2023;14;0,039;R
ES0021000005207522AC;07/09/2023;15;0,038;R
ES0021000005207522AC;07/09/2023;16;0,039;R
ES0021000005207522AC;07/09/2023;17;0,052;R
ES0021000005207522AC;07/09/2023;18;0,052;R
ES0021000005207522AC;07/09/2023;19;0,039;R
ES0021000005207522AC;07/09/2023;20;0,039;R
ES0021000005207522AC;07/09/2023;21;0,039;R
ES0021000005207522AC;07/09/2023;22;0,050;R
ES0021000005207522AC;07/09/2023;23;0,055;R
ES0021000005207522AC;07/09/2023;24;0,039;R
ES0021000005207522AC;08/09/2023;1;0,039;R
ES0021000005207522AC;08/09/2023;2;0,039;R
ES0021000005207522AC;08/09/2023;3;0,049;R
ES0021000005207522AC;08/09/2023;4;0,055;R
ES0021000005207522AC;08/09/2023;5;0,042;R
ES0021000005207522AC;08/09/2023;6;0,039;R
ES0021000005207522AC;08/09/2023;7;0,040;R
ES0021000005207522AC;08/09/2023;8;0,047;R
ES0021000005207522AC;08/09/2023;9;0,055;R
ES0021000005207522AC;08/09/2023;10;0,042;R
ES0021000005207522AC;08/09/2023;11;0,039;R
ES0021000005207522AC;08/09/2023;12;0,039;R
ES0021000005207522AC;08/09/2023;13;0,047;R
ES0021000005207522AC;08/09/2023;14;0,055;R
ES0021000005207522AC;08/09/2023;15;0,043;R
ES0021000005207522AC;08/09/2023;16;0,039;R
ES0021000005207522AC;08/09/2023;17;0,039;R
ES0021000005207522AC;08/09/2023;18;0,047;R
ES0021000005207522AC;08/09/2023;19;0,055;R
ES0021000005207522AC;08/09/2023;20;0,044;R
ES0021000005207522AC;08/09/2023;21;0,040;R
ES0021000005207522AC;08/09/2023;22;0,040;R
ES0021000005207522AC;08/09/2023;23;0,045;R
ES0021000005207522AC;08/09/2023;24;0,056;R
ES0021000005207522AC;09/09/2023;1;0,046;R
ES0021000005207522AC;09/09/2023;2;0,040;R
ES0021000005207522AC;09/09/2023;3;0,040;R
ES0021000005207522AC;09/09/2023;4;0,044;R
ES0021000005207522AC;09/09/2023;5;0,057;R
ES0021000005207522AC;09/09/2023;6;0,049;R
ES0021000005207522AC;09/09/2023;7;0,040;R
ES0021000005207522AC;09/09/2023;8;0,039;R
ES0021000005207522AC;09/09/2023;9;0,044;R
ES0021000005207522AC;09/09/2023;10;0,056;R
ES0021000005207522AC;09/09/2023;11;0,048;R
ES0021000005207522AC;09/09/2023;12;0,040;R
ES0021000005207522AC;09/09/2023;13;0,040;R
ES0021000005207522AC;09/09/2023;14;0,044;R
ES0021000005207522AC;09/09/2023;15;0,057;R
ES0021000005207522AC;09/09/2023;16;0,047;R
ES0021000005207522AC;09/09/2023;17;0,040;R
ES0021000005207522AC;09/09/2023;18;0,040;R
ES0021000005207522AC;09/09/2023;19;0,045;R
ES0021000005207522AC;09/09/2023;20;0,147;R
ES0021000005207522AC;09/09/2023;21;0,281;R
ES0021000005207522AC;09/09/2023;22;0,160;R
ES0021000005207522AC;09/09/2023;23;0,176;R
ES0021000005207522AC;09/09/2023;24;0,149;R
ES0021000005207522AC;10/09/2023;1;0,123;R
ES0021000005207522AC;10/09/2023;2;0,082;R
ES0021000005207522AC;10/09/2023;3;0,069;R
ES0021000005207522AC;10/09/2023;4;0,076;R
ES0021000005207522AC;10/09/2023;5;0,087;R
ES0021000005207522AC;10/09/2023;6;0,080;R
ES0021000005207522AC;10/09/2023;7;0,062;R
ES0021000005207522AC;10/09/2023;8;0,059;R
ES0021000005207522AC;10/09/2023;9;0,080;R
ES0021000005207522AC;10/09/2023;10;0,301;R
ES0021000005207522AC;10/09/2023;11;0,154;R
ES0021000005207522AC;10/09/2023;12;0,160;R
ES0021000005207522AC;10/09/2023;13;0,616;R
ES0021000005207522AC;10/09/2023;14;0,495;R
ES0021000005207522AC;10/09/2023;15;0,687;R
ES0021000005207522AC;10/09/2023;16;0,165;R
ES0021000005207522AC;10/09/2023;17;0,228;R
ES0021000005207522AC;10/09/2023;18;0,257;R
ES0021000005207522AC;10/09/2023;19;0,232;R
ES0021000005207522AC;10/09/2023;20;0,876;R
ES0021000005207522AC;10/09/2023;21;0,198;R
ES0021000005207522AC;10/09/2023;22;0,148;R
ES0021000005207522AC;10/09/2023;23;0,211;R
ES0021000005207522AC;10/09/2023;24;0,177;R
ES0021000005207522AC;11/09/2023;1;0,072;R
ES0021000005207522AC;11/09/2023;2;0,089;R
ES0021000005207522AC;11/09/2023;3;0,087;R
ES0021000005207522AC;11/09/2023;4;0,055;R
ES0021000005207522AC;11/09/2023;5;0,083;R
ES0021000005207522AC;11/09/2023;6;0,087;R
ES0021000005207522AC;11/09/2023;7;0,054;R
ES0021000005207522AC;11/09/2023;8;0,063;R
ES0021000005207522AC;11/09/2023;9;0,215;R
ES0021000005207522AC;11/09/2023;10;0,201;R
ES0021000005207522AC;11/09/2023;11;0,210;R
ES0021000005207522AC;11/09/2023;12;0,160;R
ES0021000005207522AC;11/09/2023;13;0,157;R
ES0021000005207522AC;11/09/2023;14;0,335;R
ES0021000005207522AC;11/09/2023;15;0,180;R
ES0021000005207522AC;11/09/2023;16;0,155;R
ES0021000005207522AC;11/09/2023;17;0,164;R
ES0021000005207522AC;11/09/2023;18;0,178;R
ES0021000005207522AC;11/09/2023;19;0,538;R
ES0021000005207522AC;11/09/2023;20;0,271;R
ES0021000005207522AC;11/09/2023;21;0,090;R
ES0021000005207522AC;11/09/2023;22;0,086;R
ES0021000005207522AC;11/09/2023;23;0,155;R
ES0021000005207522AC;11/09/2023;24;0,157;R
ES0021000005207522AC;12/09/2023;1;0,069;R
ES0021000005207522AC;12/09/2023;2;0,083;R
ES0021000005207522AC;12/09/2023;3;0,081;R
ES0021000005207522AC;12/09/2023;4;0,066;R
ES0021000005207522AC;12/09/2023;5;0,056;R
ES0021000005207522AC;12/09/2023;6;0,067;R
ES0021000005207522AC;12/09/2023;7;0,080;R
ES0021000005207522AC;12/09/2023;8;0,079;R
ES0021000005207522AC;12/09/2023;9;0,081;R
ES0021000005207522AC;12/09/2023;10;0,130;R
ES0021000005207522AC;12/09/2023;11;0,289;R
ES0021000005207522AC;12/09/2023;12;0,158;R
ES0021000005207522AC;12/09/2023;13;0,158;R
ES0021000005207522AC;12/09/2023;14;0,561;R
ES0021000005207522AC;12/09/2023;15;0,151;R
ES0021000005207522AC;12/09/2023;16;0,100;R
ES0021000005207522AC;12/09/2023;17;0,107;R
ES0021000005207522AC;12/09/2023;18;0,145;R
ES0021000005207522AC;12/09/2023;19;0,335;R
ES0021000005207522AC;12/09/2023;20;0,107;R
ES0021000005207522AC;12/09/2023;21;0,084;R
ES0021000005207522AC;12/09/2023;22;0,388;R
ES0021000005207522AC;12/09/2023;23;0,149;R
ES0021000005207522AC;12/09/2023;24;0,147;R
ES0021000005207522AC;13/09/2023;1;0,093;R
ES0021000005207522AC;13/09/2023;2;0,061;R
ES0021000005207522AC;13/09/2023;3;0,066;R
ES0021000005207522AC;13/09/2023;4;0,082;R
ES0021000005207522AC;13/09/2023;5;0,081;R
ES0021000005207522AC;13/09/2023;6;0,056;R
ES0021000005207522AC;13/09/2023;7;0,054;R
ES0021000005207522AC;13/09/2023;8;0,085;R
ES0021000005207522AC;13/09/2023;9;0,099;R
ES0021000005207522AC;13/09/2023;10;0,094;R
ES0021000005207522AC;13/09/2023;11;0,104;R
ES0021000005207522AC;13/09/2023;12;0,104;R
ES0021000005207522AC;13/09/2023;13;0,118;R
ES0021000005207522AC;13/09/2023;14;0,119;R
ES0021000005207522AC;13/09/2023;15;0,156;R
ES0021000005207522AC;13/09/2023;16;0,092;R
ES0021000005207522AC;13/09/2023;17;0,108;R
ES0021000005207522AC;13/09/2023;18;0,125;R
ES0021000005207522AC;13/09/2023;19;0,084;R
ES0021000005207522AC;13/09/2023;20;0,060;R
ES0021000005207522AC;13/09/2023;21;0,088;R
ES0021000005207522AC;13/09/2023;22;0,155;R
ES0021000005207522AC;13/09/2023;23;0,125;R
ES0021000005207522AC;13/09/2023;24;0,108;R
ES0021000005207522AC;14/09/2023;1;0,093;R
ES0021000005207522AC;14/09/2023;2;0,082;R
ES0021000005207522AC;14/09/2023;3;0,073;R
ES0021000005207522AC;14/09/2023;4;0,065;R
ES0021000005207522AC;14/09/2023;5;0,070;R
ES0021000005207522AC;14/09/2023;6;0,082;R
ES0021000005207522AC;14/09/2023;7;0,081;R
